strategy,seed,avg_response_s,ambulance_util,fire_util,police_util,mean_traffic_delay_s,incidents,queued_end
nearest,1,94.83364659590242,0.6083333333333333,0.525,0.6111111111111112,2.0847026840906904,6,0
hungarian,1,94.83364659590242,0.6083333333333333,0.525,0.6111111111111112,2.0847026840906904,6,0
nearest,2,127.84382612604058,0.2833333333333333,0.6277777777777778,0.5055555555555555,2.304730831281624,5,1
hungarian,2,127.84382612604058,0.2833333333333333,0.6277777777777778,0.5055555555555555,2.304730831281624,5,1
