strategy,seed,avg_response_s,ambulance_util,fire_util,police_util,mean_traffic_delay_s,incidents,queued_end
nearest,1,507.3352330550403,0.9652777777777778,0.9212962962962963,0.9629629629629629,0.4332602635697183,25,17
hungarian,1,426.0516740958561,0.9652777777777778,0.9212962962962963,0.9629629629629629,0.4332602635697183,25,11
